buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice
0.15,0,0.15,0.07,-0.18,1.3887484671044645,1,2.0665927325523255,281.0982187489578,2.0665927325523255,280.37
0.23,0,0.23,0.03,-0.34,1.2611073422385506,1,1732.5129233808,0.13828556356883281,1732.5129233808,0.13753
0.19,0,0.19,0.09,0.3,-1.6082499381021886,0,2.586615136326517,280.76,2.586615136326517,281.3256064964674
0.32,0,0.32,0.14,0.26,-0.3208093958876306,0,518.9663985667282,0.6136,518.9663985667282,0.6140954498791553
0.13,0,0.13,0.06,0.16,-0.3374533683194903,0,84.48555814784169,3.4044000000000003,84.48555814784169,3.4077133336350567
0.12,0,0.12,0.04,0.02,0.049725498466363566,1,38.493609078529786,3.4102,38.493609078529786,3.408226174177452
0.23,0,0.23,0.12,-0.19,0.9841634048394163,1,2517.932468061014,0.13875861343852922,2517.932468061014,0.13834
0.32,0,0.32,0.14,0,0.5340599462618176,1,99.8068432264119,3.3991307613085846,99.8068432264119,3.3931
0.16,0,0.16,0.07,-0.32,2.28530487996701,1,2.1016093921739993,283.1740418634025,2.1016093921739993,282.03
0.09,0,0.09,0.06,-0.24,1.3995999164797603,1,1.9885644472761723,283.7005643808786,1.9885644472761723,282.94
0.13,0,0.13,0.06,-0.24,1.4651739895374187,1,1.7772721832199851,283.82115905629047,1.7772721832199851,282.94
0.48,0,0.48,0.24,0.16,0.3793083610714152,1,992.6048945835,0.6218064955835044,992.6048945835,0.6213
0.14,0,0.14,0.04,0.11,-0.2382542066932308,0,5722.460658082975,0.13994635434825,5722.460658082975,0.13996
0.21,0,0.21,0.09,0.11,-0.061317038216173986,0,2241.317789269907,0.13996063454356658,2241.317789269907,0.13996
0.21,0,0.21,0.1,0.25,-1.2651477713252932,0,2.743519455726203,284.01,2.743519455726203,284.41433844086134
0.24,0,0.24,0.1,0.32,-0.7448466962649237,0,580.6380923603501,0.6267,580.6380923603501,0.6278574671496947
0.32,0,0.32,0.15,0.32,-1.1213853948411319,0,205.03381695480275,3.4060119319436093,205.03381695480275,3.4108
0.2,0,0.2,0.1,0.03,0.44714632981075586,1,2.7871578306768656,284.1572623849808,2.7871578306768656,283.94
0.09,0,0.09,0.06,0.03,-0.0737505034679955,0,2.2240552593557372,283.9636323527983,2.2240552593557372,283.94
0.37,0,0.37,0.24,-0.05,0.6453757586704921,1,412.02319490573933,0.6248,412.02319490573933,0.6231086821671159
0.11,0,0.11,0.06,-0.09,0.9178664494980338,1,5706.134094151213,0.14026890987725,5706.134094151213,0.14008
0.1,0,0.1,0.06,-0.09,0.7858728534980224,1,5706.134094151213,0.14024577337225,5706.134094151213,0.14008
0.18,0,0.18,0.06,-0.06,0.2091695346107331,1,45.50081283861318,3.4130999999999996,45.50081283861318,3.4078203294955913
0.17,0,0.17,0.15,0.14,-0.25131466472606945,0,53.44994509152817,3.4121,53.44994509152817,3.4161194494648934
0.15,0,0.15,0.06,-0.1,1.404973518048804,1,2.8232247334247886,283.89,2.8232247334247886,283.33557351264614
0.2,0,0.2,0.1,-0.09,1.3807316059223713,1,2.7301304295308717,283.87,2.7301304295308717,283.3074876693373
0.22,0,0.22,0.14,0.2,-0.7226328111309339,0,126.32535963267772,3.393818654042428,126.32535963267772,3.3988603
0.23,0,0.23,0.08,0.27,-0.36204396424436663,0,62.73670824717499,3.3951081743213907,62.73670824717499,3.4002
0.29,0,0.29,0.13,-0.44,1.7717755393787982,1,89.38881046342739,3.4036017195292985,89.38881046342739,3.3831
0.21,0,0.21,0.09,-0.44,2.4944167175492176,1,137.0048365531763,3.4019871759716667,137.0048365531763,3.3831
0.35,0,0.35,0.15,0.11,0.3229893757168491,1,811.018800687493,0.6351252764588883,811.018800687493,0.6346
0.33,0,0.33,0.08,0.44,-0.5621619594844569,0,428.73037067520005,0.6337155181521553,428.73037067520005,0.6349
0.26,0,0.26,0.11,-0.39,1.3613709703247385,1,78.18866580484708,3.4129939583066395,78.18866580484708,3.3949
0.38,0,0.38,0.16,-0.33,2.2183901766423073,1,656.0915710751617,0.6389090021581432,656.0915710751617,0.6354
0.25,0,0.25,0.11,-0.41,1.2053503821061438,1,357.3274942203053,0.6385009373483442,357.3274942203053,0.635
0.24,0,0.24,0.1,0.06,0.17581649238270858,1,549.7977605633675,0.6327463332035607,549.7977605633675,0.6323
0.14,0,0.14,0.06,-0.02,0.6286746887486435,1,2.8331640204226134,282.62,2.8331640204226134,282.34157755563996
0.12,0,0.12,0.05,-0.01,0.22119827891808955,1,1.5623668959663977,282.59,1.5623668959663977,282.39190304086486
0.14,0,0.14,0.05,0.47,-0.5993733007137749,0,44.4887419505411,3.3781,44.4887419505411,3.3908968513362336
0.15,0,0.15,0.06,-0.21,0.469806845046177,1,48.10833021506582,3.3963,48.10833021506582,3.385855137183483
0.15,0,0.15,0.06,-0.35,0.6924753992298204,1,48.6588116254589,3.3958,48.6588116254589,3.3808895964472394
0.15,0,0.15,0.06,-0.35,1.4000849015517678,1,99.59143866630436,3.3958,99.59143866630436,3.381062554264788
0.14,0,0.14,0.08,-0.05,0.4919548775048549,1,113.29250269548842,3.3768,113.29250269548842,3.371782297251803
0.12,0,0.12,0.05,0.06,-0.03417536745300182,0,79.65917997261303,3.3769,79.65917997261303,3.3766536398250184
0.21,0,0.21,0.09,0.06,0.09031025290917014,1,68.69210593367131,3.3769,68.69210593367131,3.3749099092092667
0.15,0,0.15,0.06,-0.33,0.66482397921516,1,49.22157999606044,3.3831,49.22157999606044,3.368916621800276
