id,timestamp,name,buy,sell
226,2025-09-24T19:44:04.272Z,aave,0.19,0.14
227,2025-09-24T19:44:04.272Z,eth,0.06,0.22
228,2025-09-24T19:44:04.272Z,btc,0.06,0.22
229,2025-09-24T19:44:04.272Z,virtual,0.11,0.22
230,2025-09-24T19:44:04.272Z,avnt,0.16,0.17
231,2025-09-24T19:44:04.272Z,bio,0.16,0.2
232,2025-09-24T19:44:04.272Z,zro,0.11,0.22
233,2025-09-24T19:46:04.380Z,cake,0.18,0.15
234,2025-09-24T19:46:04.380Z,aave,0.19,0.14
235,2025-09-24T19:46:04.380Z,eth,0.06,0.22
236,2025-09-24T19:46:04.380Z,btc,0.06,0.22
237,2025-09-24T19:46:04.380Z,virtual,0.11,0.22
238,2025-09-24T19:46:04.380Z,avnt,0.16,0.17
239,2025-09-24T19:46:04.380Z,bio,0.16,0.2
240,2025-09-24T19:46:04.380Z,zro,0.11,0.22
241,2025-09-24T19:48:04.542Z,cake,0.18,0.15
242,2025-09-24T19:48:04.542Z,aave,0.19,0.14
243,2025-09-24T19:48:04.542Z,eth,0.06,0.22
244,2025-09-24T19:48:04.542Z,btc,0.06,0.22
245,2025-09-24T19:48:04.542Z,virtual,0.11,0.22
246,2025-09-24T19:48:04.542Z,avnt,0.16,0.17
247,2025-09-24T19:48:04.542Z,bio,0.16,0.2
248,2025-09-24T19:48:04.542Z,zro,0.11,0.22
249,2025-09-24T19:50:04.486Z,cake,0.2,0.13
250,2025-09-24T19:50:04.486Z,aave,0.19,0.14
251,2025-09-24T19:50:04.486Z,eth,0.06,0.22
252,2025-09-24T19:50:04.486Z,btc,0.06,0.22
253,2025-09-24T19:50:04.486Z,virtual,0.11,0.22
254,2025-09-24T19:50:04.486Z,avnt,0.16,0.16
255,2025-09-24T19:50:04.486Z,bio,0.16,0.2
256,2025-09-24T19:50:04.486Z,zro,0.11,0.22
257,2025-09-24T19:52:04.735Z,cake,0.21,0.12
258,2025-09-24T19:52:04.735Z,aave,0.23,0.1
259,2025-09-24T19:52:04.735Z,eth,0.06,0.22
260,2025-09-24T19:52:04.735Z,btc,0.06,0.22
261,2025-09-24T19:52:04.735Z,virtual,0.11,0.22
262,2025-09-24T19:52:04.735Z,avnt,0.16,0.16
263,2025-09-24T19:52:04.735Z,bio,0.16,0.2
264,2025-09-24T19:52:04.735Z,zro,0.11,0.22
265,2025-09-24T19:54:04.355Z,cake,0.21,0.12
266,2025-09-24T19:54:04.355Z,aave,0.23,0.1
267,2025-09-24T19:54:04.355Z,eth,0.06,0.22
268,2025-09-24T19:54:04.355Z,btc,0.06,0.22
269,2025-09-24T19:54:04.355Z,virtual,0.11,0.22
270,2025-09-24T19:54:04.355Z,avnt,0.16,0.16
271,2025-09-24T19:54:04.355Z,bio,0.16,0.2
272,2025-09-24T19:54:04.355Z,zro,0.11,0.22
273,2025-09-24T19:56:04.360Z,cake,0.21,0.12
274,2025-09-24T19:56:04.360Z,aave,0.23,0.1
275,2025-09-24T19:56:04.360Z,eth,0.06,0.22
276,2025-09-24T19:56:04.360Z,btc,0.06,0.22
277,2025-09-24T19:56:04.360Z,virtual,0.11,0.22
278,2025-09-24T19:56:04.360Z,avnt,0.16,0.16
279,2025-09-24T19:56:04.360Z,bio,0.16,0.2
280,2025-09-24T19:56:04.360Z,zro,0.11,0.22
281,2025-09-24T19:58:04.332Z,cake,0.21,0.12
282,2025-09-24T19:58:04.332Z,aave,0.23,0.1
283,2025-09-24T19:58:04.332Z,eth,0.06,0.22
284,2025-09-24T19:58:04.332Z,btc,0.06,0.22
285,2025-09-24T19:58:04.332Z,virtual,0.11,0.22
286,2025-09-24T19:58:04.332Z,avnt,0.16,0.16
287,2025-09-24T19:58:04.332Z,bio,0.13,0.2
288,2025-09-24T19:58:04.332Z,zro,0.11,0.22
289,2025-09-24T20:00:05.040Z,cake,0.2,0.13
290,2025-09-24T20:00:05.040Z,aave,0.23,0.1
291,2025-09-24T20:00:05.040Z,eth,0.06,0.22
292,2025-09-24T20:00:05.040Z,btc,0.06,0.22
293,2025-09-24T20:00:05.040Z,virtual,0.11,0.22
294,2025-09-24T20:00:05.040Z,avnt,0.16,0.16
295,2025-09-24T20:00:05.040Z,bio,0.13,0.2
296,2025-09-24T20:00:05.040Z,zro,0.11,0.22
297,2025-09-24T20:02:04.710Z,cake,0.2,0.13
298,2025-09-24T20:02:04.710Z,aave,0.23,0.1
299,2025-09-24T20:02:04.710Z,eth,0.06,0.22
300,2025-09-24T20:02:04.710Z,btc,0.06,0.22
301,2025-09-24T20:02:04.710Z,virtual,0.11,0.22
302,2025-09-24T20:02:04.710Z,avnt,0.16,0.16
303,2025-09-24T20:02:04.710Z,bio,0.13,0.2
304,2025-09-24T20:02:04.710Z,zro,0.11,0.22
305,2025-09-24T20:04:04.457Z,cake,0.2,0.13
306,2025-09-24T20:04:04.457Z,aave,0.23,0.1
307,2025-09-24T20:04:04.457Z,eth,0.06,0.22
308,2025-09-24T20:04:04.457Z,btc,0.06,0.22
309,2025-09-24T20:04:04.457Z,virtual,0.11,0.22
310,2025-09-24T20:04:04.457Z,avnt,0.16,0.16
311,2025-09-24T20:04:04.457Z,bio,0.13,0.2
312,2025-09-24T20:04:04.457Z,zro,0.11,0.22
313,2025-09-24T20:06:03.926Z,cake,0.2,0.13
314,2025-09-24T20:06:03.926Z,aave,0.23,0.1
315,2025-09-24T20:06:03.926Z,eth,0.06,0.22
316,2025-09-24T20:06:03.926Z,btc,0.06,0.22
317,2025-09-24T20:06:03.926Z,virtual,0.11,0.22
318,2025-09-24T20:06:03.926Z,avnt,0.16,0.16
319,2025-09-24T20:06:03.926Z,bio,0.13,0.2
320,2025-09-24T20:06:03.926Z,zro,0.11,0.22
321,2025-09-24T20:08:04.527Z,cake,0.2,0.13
322,2025-09-24T20:08:04.527Z,aave,0.24,0.1
323,2025-09-24T20:08:04.527Z,eth,0.06,0.22
324,2025-09-24T20:08:04.527Z,btc,0.06,0.22
325,2025-09-24T20:08:04.527Z,virtual,0.11,0.22
326,2025-09-24T20:08:04.527Z,avnt,0.16,0.16
327,2025-09-24T20:08:04.527Z,bio,0.13,0.2
328,2025-09-24T20:08:04.527Z,zro,0.11,0.22
329,2025-09-24T20:10:04.221Z,cake,0.2,0.13
330,2025-09-24T20:10:04.221Z,aave,0.24,0.1
331,2025-09-24T20:10:04.221Z,eth,0.06,0.22
332,2025-09-24T20:10:04.221Z,btc,0.06,0.22
333,2025-09-24T20:10:04.221Z,virtual,0.11,0.22
334,2025-09-24T20:10:04.221Z,avnt,0.16,0.16
335,2025-09-24T20:10:04.221Z,bio,0.13,0.2
336,2025-09-24T20:10:04.221Z,zro,0.11,0.22
337,2025-09-24T20:12:04.338Z,cake,0.2,0.13
338,2025-09-24T20:12:04.338Z,aave,0.24,0.1
339,2025-09-24T20:12:04.338Z,eth,0.06,0.22
340,2025-09-24T20:12:04.338Z,btc,0.06,0.22
341,2025-09-24T20:12:04.338Z,virtual,0.11,0.22
342,2025-09-24T20:12:04.338Z,avnt,0.16,0.16
343,2025-09-24T20:12:04.338Z,bio,0.13,0.2
